Prov.; Des.  ;   q   ;    Q     ; H     ;Epoch     ; M    ;Peri. ;Node   ;Incl. ; e     ; a      ;Opps.    ; Ref.      
2020;KE56   ;33.112;44.592; 9.28  ;20240331; 87.3 ;  59.3; 128.7 ;  6.5 ;148;38.852;( 75d)   ;MPO735626  
2020;KD56   ;31.336;235.735;10.16  ;20240331;  5.9 ; 121.4; 113.4 ; 16.9 ;0.765 1;33.536;( 26d)   ;MPO735626  
2020;KD54   ;36.803;102.278;10.08  ;20240331; 20.6 ; 119.9; 114.7 ; 17.8 ;471;69.540;( 77d)   ;E2024-E50  
2020;KD53   ;34.855;158.098;10.02  ;20240331;357.9 ; 193.2; 112.1 ; 15.3 ;639;96.476;2;E2024-E73  
2020;KA55   ;33.853;39.666;11.47  ;20240331;  7.9 ;  54.2; 229.3 ;  3.0 ;79;36.760;( 77d)   ;MPO735623  
2020;FY30   ;35.241;104.598; 4.6   ;20240331;230.2 ; 306.3;  67.0 ; 14.0 ;496;69.920;2;MPO604815  
2020;FR40   ;35.136;125.194; 7.83  ;20240331; 34.6 ;  11.7;  71.3 ; 15.6 ;562;80.165;5;MPO706133  
2020;FQ40   ;38.293;92.980; 6.12  ;20240331;198.5 ; 195.3; 141.8 ; 43.0 ;417;65.636;3;MPO706133  
2020;FP7    ;7.005;95.130;10.86  ;20240331;359.7 ;  77.1; 208.6 ; 49.8 ;863;51.068;5;E2024-M25  
2020;FP40   ;38.207;78.209; 7.47  ;20240331; 81.4 ;  21.4;  36.5 ; 24.5 ;344;58.208;3;MPO706133  
2020;FB31   ;35.132;80.084; 5.56  ;20240331;231.2 ; 277.1;  41.8 ; 16.5 ;390;57.608;4;MPO704330  
2020;FA31   ;38.552;105.402; 5.40  ;20240331;123.5 ; 264.9; 135.7 ; 19.5 ;464;71.977;2;MPO704330  
2020;DD5    ;17.899;51.456;10.09  ;20240331;  5.3 ; 354.7; 160.9 ;  3.8 ;484;34.678;7;MPO687927  
2020;BZ94   ;38.452;77.745; 7.51  ;20240331;280.6 ; 315.5; 284.2 ;  3.8 ;338;58.099;3;MPO665660  
2020;BY101  ;37.294;67.765; 7.44  ;20240331;258.2 ; 238.5;  25.8 ; 10.6 ;290;52.530;3;MPO690810  
2020;BW6    ;5.381;15.997;14.75  ;20240331; 38.4 ; 279.5; 225.8 ;  3.3 ;497;10.689;3;MPO641109  
2020;BS60   ;31.419;104.534; 6.48  ;20240331;306.1 ;  78.0; 162.6 ; 21.3 ;538;67.977;2;MPO604775  
2020;BR60   ;37.203;64.181; 7.00  ;20240331;220.0 ;  98.0; 181.6 ;  7.1 ;266;50.692;2;MPO604775  
2020;BH157  ;37.376;72.000; 6.61  ;20240331; 82.4 ;  16.8; 355.9 ; 17.6 ;317;54.688;2;MPO825227  
2020;BG60   ;20.229;35.823;10.0   ;20240331; 32.7 ; 357.6;  96.6 ; 21.1 ;278;28.026;9;MPO604774  
2020;BF157  ;12.996;178.339;12.55  ;20240331;  1.6 ;  15.9; 110.1 ; 34.2 ;864;95.668;6;MPO825227  
2020;BF12   ;6.752;14.045;13.78  ;20240331; 39.1 ; 245.4; 246.7 ;  7.0 ;351;10.399;4;E2024-JV1  
2020;BF102  ;38.863;74.372; 7.30  ;20240331; 78.4 ;  50.3; 340.3 ; 22.1 ;314;56.618;3;MPO706109  
